Brand, Model, Caliber, Case Ø [mm], Height [mm], Link, Price, Notes
Cristopher Ward,  C60 Trident GMT 300, Sellita SW330, 40/44, 11.7, https://www.christopherward.com/c60-trident-gmt-300/C60-40AGM31S0KK0-RK.html, >1375€, clicks unknown (likely 48+); multiple colors available
Cristopher Ward, C65 Aquitaine GMT, Sellita SW330, 41, 12.7, https://www.christopherward.com/c65-aquitaine-gmt/C65-41AGM2-S0KK1-B0.html, >1655€, clicks unknown (likely 48+)
Davos, Ternos Pro GMT, 	DAV3032 (Sellita base), 42, 14, https://www.davosa.com/en-eu/collections/ternos-pro-gmt, 1590€, clicks unknown (likely 48+)
